id,scene,lum,white,black,flags,secs,traits
1,lattice,0.049401749727668844,0.0,0.488,,24,"{""Token"": ""#1 of 100"", ""Family"": ""Lattice"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""vaporwv"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""retrograde"", ""Doppler"": ""off""}"
2,lattice,0.04072779820261438,0.0,0.5347274305555556,,25,"{""Token"": ""#2 of 100"", ""Family"": ""Lattice"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""vaporwv"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""prograde"", ""Doppler"": ""off""}"
3,horsehead,0.16926337826797386,0.0,0.04883333333333333,,14,"{""Token"": ""#3 of 100"", ""Family"": ""Horsehead"", ""Temperament"": ""patient"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ice"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
4,dust-storm,0.090924026416122,0.002576388888888889,0.43139756944444446,,14,"{""Token"": ""#4 of 100"", ""Family"": ""Dust Storm"", ""Temperament"": ""restless"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""density"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
5,stephans-quintet,0.1420580473856209,0.009793402777777778,0.28559548611111113,,16,"{""Token"": ""#5 of 100"", ""Family"": ""Stephan's Quintet"", ""Temperament"": ""patient"", ""Signature"": ""chase"", ""Variant"": ""\u2014"", ""Palette"": ""bone"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
6,horsehead,0.08668375544662309,0.0,0.22821527777777778,,12,"{""Token"": ""#6 of 100"", ""Family"": ""Horsehead"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
7,orrery,0.023470806100217866,0.0005607638888888889,0.9368420138888889,,13,"{""Token"": ""#7 of 100"", ""Family"": ""Orrery"", ""Temperament"": ""restless"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""mono"", ""Channel"": ""kind"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
8,orrery,0.021233006535947712,0.0005364583333333333,0.9459565972222223,,13,"{""Token"": ""#8 of 100"", ""Family"": ""Orrery"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""mono"", ""Channel"": ""kind"", ""Exposure"": ""short"", ""Spin"": ""prograde"", ""Doppler"": ""off""}"
9,horsehead,0.16628531454248366,0.0,0.024965277777777777,,13,"{""Token"": ""#9 of 100"", ""Family"": ""Horsehead"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""vaporwv"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
10,antennae,0.19719121051198257,0.012661458333333334,0.10602604166666667,,14,"{""Token"": ""#10 of 100"", ""Family"": ""Antennae"", ""Temperament"": ""contemplative"", ""Signature"": ""chase"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
